Time_[sec] velocity_[m/s] position_[m/s]
0.722 0.0204023 0.30687
0.723 0.0204527 0.30687
0.724 0.0205031 0.306869
0.725 0.0205535 0.30687
0.726 0.0206039 0.306869
0.727 0.0206544 0.30687
0.728 0.0207049 0.306869
0.729 0.0207555 0.30687
0.73 0.0208061 0.306869
0.731 0.0208567 0.30687
0.732 0.0209074 0.30687
0.733 0.0209581 0.306869
0.734 0.0210089 0.30687
0.735 0.0210596 0.306871
0.736 0.0211104 0.30687
0.737 0.0211613 0.30687
0.738 0.0212122 0.30687
0.739 0.0212631 0.306871
0.74 0.021314 0.306871
0.741 0.021365 0.306871
0.742 0.021416 0.306871
0.743 0.0214671 0.30687
0.744 0.0215182 0.306871
0.745 0.0215693 0.30687
0.746 0.0216205 0.30687
0.747 0.0216717 0.306869
0.748 0.0217229 0.30687
0.749 0.0217741 0.306871
0.75 0.0218254 0.30687
0.751 0.0218768 0.30687
0.752 0.0219281 0.30687
0.753 0.0219795 0.306869
0.754 0.0220309 0.30687
0.755 0.0220824 0.30687
0.756 0.0221339 0.306869
0.757 0.0221854 0.306869
0.758 0.022237 0.30687
0.759 0.0222886 0.30687
0.76 0.0223402 0.30687
0.761 0.0223918 0.30687
0.762 0.0224435 0.306869
0.763 0.0224952 0.306869
0.764 0.022547 0.306868
0.765 0.0225987 0.306869
0.766 0.0226506 0.306869
0.767 0.0227024 0.30687
0.768 0.0227543 0.30687
0.769 0.0228062 0.30687
0.77 0.0228581 0.30687
0.771 0.0229101 0.306869
0.772 0.0229621 0.30687
0.773 0.0230141 0.306869
0.774 0.0230662 0.306869
0.775 0.0231183 0.306869
0.776 0.0231704 0.30687
0.777 0.0232225 0.30687
0.778 0.0232747 0.30687
0.779 0.0233269 0.30687
0.78 0.0233791 0.30687
0.781 0.0234314 0.30687
0.782 0.0234837 0.30687
0.783 0.023536 0.30687
0.784 0.0235884 0.306869
0.785 0.0236408 0.306869
0.786 0.0236932 0.30687
0.787 0.0237456 0.306869
0.788 0.0237981 0.306869
0.789 0.0238506 0.30687
0.79 0.0239031 0.306871
0.791 0.0239557 0.306871
0.792 0.0240083 0.30687
0.793 0.0240609 0.30687
0.794 0.0241135 0.30687
0.795 0.0241662 0.306871
0.796 0.0242189 0.306871
0.797 0.0242716 0.30687
0.798 0.0243244 0.306871
0.799 0.0243771 0.306871
0.8 0.0244299 0.30687
0.801 0.0244828 0.30687
0.802 0.0245356 0.30687
0.803 0.0245885 0.30687
0.804 0.0246414 0.306871
0.805 0.0246944 0.306871
0.806 0.0247473 0.30687
0.807 0.0248003 0.306871
0.808 0.0248533 0.30687
0.809 0.0249064 0.30687
0.81 0.0249594 0.30687
0.811 0.0250125 0.306869
0.812 0.0250657 0.30687
0.813 0.0251188 0.30687
0.814 0.025172 0.306871
0.815 0.0252252 0.30687
0.816 0.0252784 0.30687
0.817 0.0253316 0.30687
0.818 0.0253849 0.30687
0.819 0.0254382 0.30687
0.82 0.0254915 0.306869
0.821 0.0255449 0.306869
0.822 0.0255982 0.30687
0.823 0.0256516 0.30687
0.824 0.025705 0.306869
0.825 0.0257585 0.30687
0.826 0.0258119 0.306869
0.827 0.0258654 0.30687
0.828 0.0259189 0.306871
0.829 0.0259725 0.30687
0.83 0.026026 0.30687
0.831 0.0260796 0.30687
0.832 0.0261332 0.306869
0.833 0.0261868 0.30687
0.834 0.0262405 0.306871
0.835 0.0262941 0.30687
0.836 0.0263478 0.30687
0.837 0.0264015 0.30687
0.838 0.0264553 0.30687
0.839 0.026509 0.30687
0.84 0.0265628 0.306871
0.841 0.0266166 0.306871
0.842 0.0266704 0.306871
0.843 0.0267243 0.30687
0.844 0.0267782 0.30687
0.845 0.026832 0.306871
0.846 0.026886 0.306871
0.847 0.0269399 0.306871
0.848 0.0269938 0.306871
0.849 0.0270478 0.306871
0.85 0.0271018 0.306871
0.851 0.0271558 0.30687
0.852 0.0272098 0.30687
0.853 0.0272639 0.306872
0.854 0.027318 0.30687
0.855 0.0273721 0.30687
0.856 0.0274262 0.30687
0.857 0.0274803 0.306869
0.858 0.0275345 0.30687
0.859 0.0275886 0.30687
0.86 0.0276428 0.30687
0.861 0.027697 0.306869
0.862 0.0277512 0.30687
0.863 0.0278055 0.306869
0.864 0.0278598 0.30687
0.865 0.027914 0.306869
0.866 0.0279683 0.30687
0.867 0.0280227 0.30687
0.868 0.028077 0.30687
0.869 0.0281314 0.30687
0.87 0.0281857 0.30687
0.871 0.0282401 0.30687
0.872 0.0282945 0.30687
0.873 0.028349 0.306869
0.874 0.0284034 0.306869
0.875 0.0284579 0.306869
0.876 0.0285123 0.306869
0.877 0.0285668 0.30687
0.878 0.0286213 0.306871
0.879 0.0286759 0.306869
0.88 0.0287304 0.306868
0.881 0.028785 0.30687
0.882 0.0288395 0.306869
0.883 0.0288941 0.306869
0.884 0.0289487 0.30687
0.885 0.0290034 0.306869
0.886 0.029058 0.306869
0.887 0.0291127 0.30687
0.888 0.0291673 0.306869
0.889 0.029222 0.30687
0.89 0.0292767 0.306869
0.891 0.0293314 0.306869
0.892 0.0293862 0.30687
0.893 0.0294409 0.306869
0.894 0.0294957 0.30687
0.895 0.0295505 0.30687
0.896 0.0296052 0.30687
0.897 0.0296601 0.30687
0.898 0.0297149 0.306869
0.899 0.0297697 0.306869
0.9 0.0298245 0.30687
0.901 0.0298794 0.306869
0.902 0.0299343 0.30687
0.903 0.0299892 0.306871
0.904 0.0300441 0.30687
0.905 0.030099 0.30687
0.906 0.0301539 0.30687
0.907 0.0302088 0.306871
0.908 0.0302638 0.30687
0.909 0.0303188 0.30687
0.91 0.0303737 0.306869
0.911 0.0304287 0.306868
0.912 0.0304837 0.306869
0.913 0.0305387 0.306869
0.914 0.0305938 0.306869
0.915 0.0306488 0.306869
0.916 0.0307038 0.30687
0.917 0.0307589 0.306868
0.918 0.030814 0.306869
0.919 0.030869 0.306868
0.92 0.0309241 0.306869
0.921 0.0309792 0.306869
0.922 0.0310344 0.306869
0.923 0.0310895 0.306869
0.924 0.0311446 0.306869
0.925 0.0311998 0.306869
0.926 0.0312549 0.306869
0.927 0.0313101 0.306869
0.928 0.0313653 0.30687
0.929 0.0314204 0.306869
